module,object,base_oid,syntax,mib_max_access,release_access,instance_index,value_source,formal_projection,reference
SNMPv2-MIB,sysDescr,1.3.6.1.2.1.1.1,DisplayString (0..255 octets),read-only,read-only,0,Generic project identity and software version,outside-core,RFC3418
SNMPv2-MIB,sysObjectID,1.3.6.1.2.1.1.2,OBJECT IDENTIFIER,read-only,read-only,0,Validated operator-configured identity.sys_object_id; public default null gates SNMP; explicit isolated-development override only,outside-core,RFC3418
SNMPv2-MIB,sysUpTime,1.3.6.1.2.1.1.3,TimeTicks,read-only,read-only,0,Real management uptime modulo 2^32; not simulation time,outside-core,RFC3418
SNMPv2-MIB,sysContact,1.3.6.1.2.1.1.4,DisplayString (0..255 octets),read-write,read-only,0,Saved contact,outside-core,RFC3418
SNMPv2-MIB,sysName,1.3.6.1.2.1.1.5,DisplayString (0..255 octets),read-write,read-only,0,Saved switch name,outside-core,RFC3418
SNMPv2-MIB,sysLocation,1.3.6.1.2.1.1.6,DisplayString (0..255 octets),read-write,read-only,0,Saved location,outside-core,RFC3418
SNMPv2-MIB,sysServices,1.3.6.1.2.1.1.7,INTEGER (0..127),read-only,read-only,0,2: simulated layer-2 service,outside-core,RFC3418
IF-MIB,ifNumber,1.3.6.1.2.1.2.1,Integer32,read-only,read-only,0,Configured physical interface count,outside-core,RFC2863
IF-MIB,ifIndex,1.3.6.1.2.1.2.2.1.1,InterfaceIndex,read-only,read-only,ifIndex,Stable positive interface index,IfTable,RFC2863
IF-MIB,ifDescr,1.3.6.1.2.1.2.2.1.2,DisplayString,read-only,read-only,ifIndex,Configured physical interface description,outside-core,RFC2863
IF-MIB,ifType,1.3.6.1.2.1.2.2.1.3,IANAifType,read-only,read-only,ifIndex,ethernetCsmacd(6),outside-core,RFC2863
IF-MIB,ifMtu,1.3.6.1.2.1.2.2.1.4,Integer32,read-only,read-only,ifIndex,Configured interface MTU,outside-core,RFC2863
IF-MIB,ifSpeed,1.3.6.1.2.1.2.2.1.5,Gauge32,read-only,read-only,ifIndex,Operational speed capped at 4294967295; zero when down,outside-core,RFC2863
IF-MIB,ifPhysAddress,1.3.6.1.2.1.2.2.1.6,PhysAddress,read-only,read-only,ifIndex,Stable simulated per-port MAC,outside-core,RFC2863
IF-MIB,ifAdminStatus,1.3.6.1.2.1.2.2.1.7,INTEGER,read-write,read-only,ifIndex,up(1) or down(2),IfTable,RFC2863
IF-MIB,ifOperStatus,1.3.6.1.2.1.2.2.1.8,INTEGER,read-only,read-only,ifIndex,up(1) or down(2) from modeled link state,IfTable,RFC2863
IF-MIB,ifLastChange,1.3.6.1.2.1.2.2.1.9,TimeTicks,read-only,read-only,ifIndex,Management-uptime timestamp of last operational transition; zero at boot,outside-core,RFC2863
IF-MIB,ifInOctets,1.3.6.1.2.1.2.2.1.10,Counter32,read-only,read-only,ifIndex,Low 32 bits of simulated ingress octets,outside-core,RFC2863
